review_id,review,cleaned_review,keywords,theme
898,Thank you BoA,thank boa,"['boa', 'thank']",['Other']
899,best banking app in the wworld,good banking app wworld,"['banking', 'good', 'app']",['Other']
900,Nice app and it's easy to use,nice app easy use,"['nice', 'easy', 'use', 'app']",['Other']
901,"please add language in the apps setting(amharic afan oromo, tigniya,and others) sometimes bank to bank transfer is not available through time and even if if it is available not reachable…it is serious issue!",add language app set amharic afan oromo tigniya bank bank transfer available time available reachable issue,"['available', 'amharic', 'set', 'oromo', 'language', 'bank', 'add', 'issue', 'transfer', 'time']",['Other']
902,This is help full i like ittttt,help like ittttt,"['ittttt', 'help', 'like']","['Customer Support', 'Other']"
903,The is not functional at all?,functional,['functional'],['Other']
904,Best bank,good bank,"['bank', 'good']",['Other']
905,Make it easy and convienient to use and perfect for all to high prefrence and choice.,easy convienient use perfect high prefrence choice,"['prefrence', 'convienient', 'choice', 'high', 'perfect', 'easy', 'use']",['Other']
906,good,good,['good'],['Other']
907,🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹👍👍👍👍👍👍👍,,[],[]
908,I have been using this app for two years.It is amazing.,app year amazing,"['year', 'amazing', 'app']",['Other']
909,Good 👍,good,['good'],['Other']
910,Sad experience,sad experience,"['sad', 'experience']",['Other']
911,Always do update and that is annoying,update annoying,"['annoying', 'update']","['Feature Requests', 'Other']"
912,"Best app, somehow waiting a few minutes",good app wait minute,"['minute', 'wait', 'good', 'app']",['Other']
913,I can't dijitalize my atm in the apollo app on my phone,dijitalize atm apollo app phone,"['dijitalize', 'atm', 'apollo', 'phone', 'app']",['Other']
914,Whenever I try to sign in app close please fixed it out,try sign app close fix,"['sign', 'close', 'try', 'fix', 'app']",['Other']
915,Beter,beter,[],[]
916,Boa,boa,['boa'],['Other']
917,በጣም የሚያስጠላ አፕ በጣም የወረደ ዜሮ ነው የምሰጠው ዘሮ It's not App it's very slow ehhhh. Why don't you upgrade the app???? It's always zero,app slow ehhhh don upgrade app zero,"['ehhhh', 'zero', 'upgrade', 'don', 'slow', 'app']","['Transaction Performance', 'Other']"
918,Aadan Axmed Barkhadle,aadan axme barkhadle,[],[]
919,😡😡😡🤬🤬🤬,,[],[]
